"","name","country","legible","results","sentences","page"
"1","Collective action for poverty reduction","8","Past and present land tenure policies have tended to discriminate against the communal interests of pastoralist communities, and the federal governments policy does not yet accommodate both customary modes of communal land use and emerging trends toward privatization. Collective action on a local scale is insufficient to counter the unmaking of the commons. It needs to be complemented by a land tenure policy that ensures the rights of communal users. Property rights to land and its multiple resources are central in defining incentives for collective action. Neither clans nor customary rule systems are adequate to fully adapt to changed environmental and social conditions. Nor has the state yet found a constructive role in the encounter with pastoralism and clan societies. A redefinition of this relationship is urgently needed. **18**",0.611567314678131,"past and present land tenure policies have tended to discriminate against the communal interests of pastoralist communities, and the federal governments policy does not yet accommodate both customary modes of communal land use and emerging trends toward privatization. collective action on a local scale is insufficient to counter the unmaking of the commons. it needs to be complemented by a land tenure policy that ensures the rights of communal users. property rights to land and its multiple resources are central in defining incentives for collective action. neither clans nor customary rule systems are adequate to fully adapt to changed environmental and social conditions. nor has the state yet found a constructive role in the encounter with pastoralism and clan societies. a redefinition of this relationship is urgently needed.","18"
"2","Collective action for poverty reduction","8","De facto privatization and individualization provide some clan members with secure access to resources and additional income, but potentially exclude others. While inter-clan negotiation may entail access to pasture commons, asset-poor households may fail to capture the associated benefit streams when water access is privatized and prohibitively priced. In that case, clan members may have endowments to some commons resources like pasture, but will not enjoy the entitlement to actual benefit streams because of exclusion from others like water. **18**",0.571753450112649,"de facto privatization and individualization provide some clan members with secure access to resources and additional income, but potentially exclude others. while inter clan negotiation may entail access to pasture commons, asset poor households may fail to capture the associated benefit streams when water access is privatized and prohibitively priced. in that case, clan members may have endowments to some commons resources like pasture, but will not enjoy the entitlement to actual benefit streams because of exclusion from others like water. ","18"
"3","Collective action for poverty reduction","8"," Averting state coercion the coercive expropriation of pastoral land has slowed since 1991, and afar pastoralists have regained some of their lost rights over their traditional land. However, the current national policies are not immune from the anti-pastoral sentiment. The 2005 national land use proclamation declares that communal rural land holdings may be converted to private holdings if the government finds it necessary. There is also a plan to expand irrigated land in the awash basin. Implementation of such a plan would require evicting pastoralists. Current experiences in non-pastoral areas show that undervaluation of land, large variance between what investors pay and what evicts receive, and failure of evicts to start new livelihoods are critical problems associated with the expansion of investments in rural areas of ethiopia. These problems are attributable to a lack of effective institutions and appropriate governance structures, including lack of clear guidelines on land valuation, marginalization of landholders in the process of land transfers, and a weak organizational setup to administer the transformation process. **15**",0.564152086220328,"1. averting state coercion the coercive expropriation of pastoral land has slowed since 199 1, and afar pastoralists have regained some of their lost rights over their traditional land. however, the current national policies are not immune from the anti pastoral sentiment. the 200 5 national land use proclamation declares that communal rural land holdings may be converted to private holdings if the government finds it necessary. there is also a plan to expand irrigated land in the awash basin. implementation of such a plan would require evicting pastoralists. current experiences in non pastoral areas show that undervaluation of land, large variance between what investors pay and what evicts receive, and failure of evicts to start new livelihoods are critical problems associated with the expansion of investments in rural areas of ethiopia. these problems are attributable to a lack of effective institutions and appropriate governance structures, including lack of clear guidelines on land valuation, marginalization of landholders in the process of land transfers, and a weak organizational setup to administer the transformation process.","15"
"4","Collective action for sustainable development","8","Adopt local definitions of tenure security when appropriate. Adequate tenure security does not necessarily mean ownership in the western sense.the question should always bewhat do rural people need? Modest increases in tenure security can be transformative.though some systems need greater transparency and accountability, many customary or community-based tenure systems can provide adequate tenure security. **33**",0.665236010373673," adopt local definitions of tenure security when appropriate. adequate tenure security does not necessarily mean ownership in the western sense.the question should always bewhat do rural people need? modest increases in tenure security can be transformative.though some systems need greater transparency and accountability, many customary or community based tenure systems can provide adequate tenure security.","33"
"5","Collective action for sustainable development","8","Equitable strengthening of property rights is the goal. The rights of all stakeholders should be considered together. Reforms to strengthen the property rights of one individual or group, especially in customary tenure contexts, should not inadvertently weaken the property rights of others. **34**",0.613961822508994," equitable strengthening of property rights is the goal. the rights of all stakeholders should be considered together. reforms to strengthen the property rights of one individual or group, especially in customary tenure contexts, should not inadvertently weaken the property rights of others.","34"
"6","Collective action for sustainable development","8","Be alert for unintended consequences. Even well-conceived reforms can be hijacked by the powerful.a classic case is the appropriation of common areas by the powerful as land titling approaches, depriving the poor of a resource upon which they rely.vulnerable groups are often unrepresented in local implementation authorities, and mechanisms must be built into the implementation process to ensure their participation in reform processes and reform benefits. And enactment of reforms of tenancy systems can, if enforcement is weak, lead to the expulsion of tenants from their holdings by angry landlords. **34**",0.612545177804701," be alert for unintended consequences. even well conceived reforms can be hijacked by the powerful.a classic case is the appropriation of common areas by the powerful as land titling approaches, depriving the poor of a resource upon which they rely.vulnerable groups are often unrepresented in local implementation authorities, and mechanisms must be built into the implementation process to ensure their participation in reform processes and reform benefits. and enactment of reforms of tenancy systems can, if enforcement is weak, lead to the expulsion of tenants from their holdings by angry landlords.","34"
"7","Collective action for sustainable development","8","Constraints in capacity and finance can undermine implementation. Strengthened property rights systems are costly they often require substantial state or community investment in systems for survey, adjudication, and titling, for registration of transactions and inheritances, and for dispute resolution. Many a property rights reform has stalled for lack of financial support. **34**",0.577543224786713," constraints in capacity and finance can undermine implementation. strengthened property rights systems are costly they often require substantial state or community investment in systems for survey, adjudication, and titling, for registration of transactions and inheritances, and for dispute resolution. many a property rights reform has stalled for lack of financial support.","34"
"8","Collective action for sustainable development","8","Collective action and property rights for sustainable development ruth meinzen-dick r.meinzen-dick@cgiar.org is a senior research fellow in offprint's environment and production technology division dept and coordinator of the system-wide program on collective action and property rights capri of the consultative group on international agricultural research cgiar; kendra prada rpradhan@mail.com.np is executive director of the international centre for study of nature, environment, and culture icnec, kathmandu, nepal; monica di gregorio m.digregorio@cgiar.org is a research analyst for the capri program and eptd. Mining property rights on the ground. For example, state laws on inheritance are often ignored in favor of religious laws or local custom. Research has shown that state titling programs do not always provide stronger security than customary rights and may even be a source of insecurity for women and households with less information or fewer connections to obtain government land registration. While legal pluralism can create uncertainty because rival claimants can use a large legal repertoire to claim a resource, multiple legal frameworks also provide flexibility for people to maneuver in their use of natural resources. **8**",0.568930405734726,"collective action and property rights for sustainable development ruth meinzen dick r.meinzen dick@cgiar.org is a senior research fellow in offprint's environment and production technology division dept and coordinator of the system wide program on collective action and property rights capri of the consultative group on international agricultural research cgiar; kendra prada rpradhan@mail.com.np is executive director of the international centre for study of nature, environment, and culture icnec, kathmandu, nepal; monica di gregorio m.digregorio@cgiar.org is a research analyst for the capri program and eptd. mining property rights on the ground. for example, state laws on inheritance are often ignored in favor of religious laws or local custom. research has shown that state titling programs do not always provide stronger security than customary rights and may even be a source of insecurity for women and households with less information or fewer connections to obtain government land registration. while legal pluralism can create uncertainty because rival claimants can use a large legal repertoire to claim a resource, multiple legal frameworks also provide flexibility for people to maneuver in their use of natural resources.","8"
"9","Collective action for sustainable development","8","Protect common property rights. The poor often depend disproportionately on common property resources. Some resources used in common, such as wetlands, forests, and pastures, may be secured only by strengthening community property rights.tenure security is not only about individual property rights, but also about legitimate common property and state rights in some categories of land. **33**",0.550179768004248," protect common property rights. the poor often depend disproportionately on common property resources. some resources used in common, such as wetlands, forests, and pastures, may be secured only by strengthening community property rights.tenure security is not only about individual property rights, but also about legitimate common property and state rights in some categories of land.","33"
"10","Collective action for sustainable development","8","Strengthening the property rights of the poor is a complex project.the landed poor are a heterogeneous group who hold rights to their landed assets in diverse and complicated ways. Efforts to increase the security of their tenure need to be sensitive to the specific circumstances that characterize each case, the existing legal conditions, the strength or weakness of available financial and property registration systems, the needs of each group of stakeholders, and the possibilities of unintended consequences. Common property rights must also be protected. **34**",0.545737747810841,"strengthening the property rights of the poor is a complex project.the landed poor are a heterogeneous group who hold rights to their landed assets in diverse and complicated ways. efforts to increase the security of their tenure need to be sensitive to the specific circumstances that characterize each case, the existing legal conditions, the strength or weakness of available financial and property registration systems, the needs of each group of stakeholders, and the possibilities of unintended consequences. common property rights must also be protected. ","34"
